"","id","title","assignee","author","prioritydate","filingdate","publicationdate","grantdate","link","representativelink","city"
"1917","GB-202219576-D0","Polypeptides","Univ Court Univ Of Glasgow",NA,2022-12-22,2022-12-22,2023-02-08,NA,"https://patents.google.com/patent/GB202219576D0/en",NA,"Glasgow"
"1918","GB-202217097-D0","Granular material conveyance and transfer apparatus","Univ Court Univ Of Glasgow",NA,2022-11-16,2022-11-16,2022-12-28,NA,"https://patents.google.com/patent/GB202217097D0/en",NA,"Glasgow"
"1919","GB-201401068-D0","Cell maturation process","Scottish Nat Blood Transfusion Service, Univ Loughborough, Univ Glasgow",NA,2014-01-22,2014-01-22,2014-03-05,NA,"https://patents.google.com/patent/GB201401068D0/en",NA,"Glasgow"
"1920","GB-201707743-D0","Three dimensional structure with sensor capability","Univ Court Univ Of Glasgow",NA,2017-05-15,2017-05-15,2017-06-28,NA,"https://patents.google.com/patent/GB201707743D0/en",NA,"Glasgow"
"1921","GB-201716375-D0","Semiconductor device","Univ Court Univ Of Glasgow",NA,2017-10-06,2017-10-06,2017-11-22,NA,"https://patents.google.com/patent/GB201716375D0/en",NA,"Glasgow"
"1922","GB-201800436-D0","Imaging system","Univ Court Univ Of Glasgow",NA,2018-01-11,2018-01-11,2018-02-28,NA,"https://patents.google.com/patent/GB201800436D0/en",NA,"Glasgow"
"1923","GB-202213747-D0","Methods and platform for chemical synthesis","Univ Court Univ Of Glasgow",NA,2022-09-20,2022-09-20,2022-11-02,NA,"https://patents.google.com/patent/GB202213747D0/en",NA,"Glasgow"
"1924","GB-202213839-D0","Biomagnetidm measurement system and method for sensing biomagnetic signals","Univ Court Univ Of Glasgow",NA,2022-09-22,2022-09-22,2022-11-09,NA,"https://patents.google.com/patent/GB202213839D0/en",NA,"Glasgow"
"1925","GB-202217098-D0","Granular material conveyance and transfer apparatus","Univ Court Univ Of Glasgow",NA,2022-11-16,2022-11-16,2022-12-28,NA,"https://patents.google.com/patent/GB202217098D0/en",NA,"Glasgow"
"1926","GB-202215240-D0","Photonic device","Univ Court Univ Of Glasgow, Vector Photonics Ltd",NA,2022-10-14,2022-10-14,2022-11-30,NA,"https://patents.google.com/patent/GB202215240D0/en",NA,"Glasgow"
"1927","WO-2015200779-A3","Methods of prevention and treatment of viral disease by use of ddx3 inhibitors","The Johns Hopkins University, University Of Glasgow","Venu Raman, Arvind H. Patel",2014-06-26,2015-06-26,2016-08-11,NA,"https://patents.google.com/patent/WO2015200779A3/en",NA,"Glasgow"
"1928","GB-201214106-D0","Immunomodulatory compounds","Univ Strathclyde, Univ Glasgow",NA,2012-08-07,2012-08-07,2012-09-19,NA,"https://patents.google.com/patent/GB201214106D0/en",NA,"Glasgow"
"1929","WO-2021072056-A1","P53 peptide disrupters of f0x04:p53 protein binding, variants and conjugates thereof.","Portage Glasgow Limited, University Of Glasgow","Frank W. MARCOUX, George Scott BAILLIE, Connor Macleod BLAIR",2019-10-08,2020-10-08,2021-04-15,NA,"https://patents.google.com/patent/WO2021072056A1/en",NA,"Glasgow"
"1930","GB-201010945-D0","Devices and methods for monitoring and/or treatment of tumours","Univ Glasgow, Greater Glasgow Health Board",NA,2010-06-29,2010-06-29,2010-08-11,NA,"https://patents.google.com/patent/GB201010945D0/en",NA,"Glasgow"
"1931","GB-201503124-D0","Network-on-chip analysis system","Univ Glasgow",NA,2015-02-25,2015-02-25,2015-04-08,NA,"https://patents.google.com/patent/GB201503124D0/en",NA,"Glasgow"
"1932","EP-4124661-A1","Personalization in prostate cancer by use of the prostate cancer pde4d7 knock-down score","Koninklijke Philips N.V., The University Court of the University of Glasgow","Ralf Dieter HOFFMANN, George Baillie",2021-07-26,2021-07-26,2023-02-01,NA,"https://patents.google.com/patent/EP4124661A1/en","https://patentimages.storage.googleapis.com/1e/28/69/0432dd521d38c8/imgf0001.png","Glasgow"
"1933","GB-201517655-D0","Polypeptide synthesis","Univ Glasgow",NA,2015-10-06,2015-10-06,2015-11-18,NA,"https://patents.google.com/patent/GB201517655D0/en",NA,"Glasgow"
"1934","GB-201321237-D0","Materials and methods for treatment of pulmonary arterial hypertension","Univ Glasgow",NA,2013-12-02,2013-12-02,2014-01-15,NA,"https://patents.google.com/patent/GB201321237D0/en",NA,"Glasgow"
"1935","AU-2014201941-A1","Methods and compositions for treating leukemia","Novartis Ag, The University Court Of The University Of Glasgow","Mhairi Copland, Marion Dorsch, David Irvine, Paul W. Manley, Stefan Peukert",2009-08-12,2014-04-04,2014-04-24,NA,"https://patents.google.com/patent/AU2014201941A1/en",NA,"Glasgow"
"1936","GB-201415583-D0","Electronic Device","Univ The Glasgow",NA,2014-09-03,2014-09-03,2014-10-15,NA,"https://patents.google.com/patent/GB201415583D0/en",NA,"Glasgow"
"1937","US-2023012505-A1","Sensor readout circuit for a biomagnetism measurement system","The University Court Of The University Of Glasgow","Hadi HEIDARI, Siming ZUO",2021-07-19,2021-07-19,2023-01-19,NA,"https://patents.google.com/patent/US20230012505A1/en","https://patentimages.storage.googleapis.com/9f/a6/de/746f39677b6feb/US20230012505A1-20230119-D00000.png","Glasgow"
"1938","ES-2668494-B1","TAO ALOSTERIC INHIBITORS AS ANTIPARASITARY AND YANTIFUNGIC AGENTS","Consejo Superior Investigacion, Univ Glasgow Court","Christophe Dardonville, Koning Hendrik Pieter De, Godwin Unekwuojo Ebiloma",2016-10-17,2016-10-17,2019-02-26,2019-02-26,"https://patents.google.com/patent/ES2668494B1/en",NA,"Glasgow"
"1939","GB-201208770-D0","Compounds for use in the treatment of adenovirus infections","Univ Glasgow",NA,2012-05-17,2012-05-17,2012-07-04,NA,"https://patents.google.com/patent/GB201208770D0/en",NA,"Glasgow"
"1940","GB-201416570-D0","Materials and methods for treatment of pulmonary arterial hypertenion","Univ Glasgow",NA,2014-09-19,2014-09-19,2014-11-05,NA,"https://patents.google.com/patent/GB201416570D0/en",NA,"Glasgow"
"1941","GB-201114898-D0","Pixel circuit","Univ Glasgow",NA,2011-08-26,2011-08-26,2011-10-12,NA,"https://patents.google.com/patent/GB201114898D0/en",NA,"Glasgow"
"1942","GB-201404488-D0","Materials and methods for decreasing Raf-1 activation","Univ Glasgow",NA,2014-03-13,2014-03-13,2014-04-30,NA,"https://patents.google.com/patent/GB201404488D0/en",NA,"Glasgow"
"1943","GB-201303830-D0","Methods,unit and device relating to the manufacture,processing,synthesising or screening of radiopharmaceutical compositions","Univ Glasgow",NA,2013-03-04,2013-03-04,2013-04-17,NA,"https://patents.google.com/patent/GB201303830D0/en",NA,"Glasgow"
"1944","GB-201508931-D0","Materials and methods for tissue regeneration","Univ Glasgow The And Georgia Tech Res Corp",NA,2015-05-26,2015-05-26,2015-07-01,NA,"https://patents.google.com/patent/GB201508931D0/en",NA,"Glasgow"
"1945","GB-201021622-D0","Preparation of N-Formyl benzotriazoles","Univ Glasgow",NA,2010-12-21,2010-12-21,2011-02-02,NA,"https://patents.google.com/patent/GB201021622D0/en",NA,"Glasgow"
"1946","EP-2624860-A2","Inhibitors of PDE4 binding to HSP20","The University Court Of The University Of Glasgow","George Baillie, Miles Houslay, Jon Day",2010-10-08,2011-10-07,2013-08-14,NA,"https://patents.google.com/patent/EP2624860A2/en",NA,"Glasgow"
"1947","CN-115542217-A","Echo interval shuffling for echo planar imaging","西门子医疗有限公司, 格拉斯哥大学","帕特里克·利比希, 大卫·安德鲁·波特, 罗宾·海德曼",2021-06-30,2022-06-28,2022-12-30,NA,"https://patents.google.com/patent/CN115542217A/en","https://patentimages.storage.googleapis.com/05/10/70/9ad4d798627d60/HDA0003717576990000011.png","Glasgow"
"1948","GB-201104681-D0","Roles for chitinase-like proteins in disease states","Univ Glasgow",NA,2011-03-18,2011-03-18,2011-05-04,NA,"https://patents.google.com/patent/GB201104681D0/en",NA,"Glasgow"
"1949","GB-201319262-D0","Electronic device","Univ Glasgow",NA,2013-10-31,2013-10-31,2013-12-18,NA,"https://patents.google.com/patent/GB201319262D0/en",NA,"Glasgow"
"1950","EP-2859094-A1","Genetically modified schmallenberg virus (sbv) for use as vaccine","The University Court of the University of Glasgow","Richard M ELLIOT, Gjon BLAKQORI, Elina KOUDRIAKOVA, Beryl MAZEL-SANCHEZ, Xiaohong Shi",2012-06-11,2013-06-07,2015-04-15,NA,"https://patents.google.com/patent/EP2859094A1/en",NA,"Glasgow"
"1951","US-9840705-B2","Materials and methods for treatment of pulmonary arterial hypertension","The University Court Of The University Of Glasgow","Margaret R. MACLEAN, Emma WALLACE, Andrew H. Baker",2013-12-02,2014-12-01,2017-12-12,2017-12-12,"https://patents.google.com/patent/US9840705B2/en","https://patentimages.storage.googleapis.com/28/c5/52/8b9c59361aaf27/US09840705-20171212-D00001.png","Glasgow"
"1952","US-2017198347-A1","Methods and systems for measuring t cell diversity","The University Court Of The University Of Glasgow","Edward Seungho Lee, Andrew James Yates",2016-01-12,2017-01-12,2017-07-13,NA,"https://patents.google.com/patent/US20170198347A1/en","https://patentimages.storage.googleapis.com/e8/de/95/2f65f5c00025f2/US20170198347A1-20170713-D00001.png","Glasgow"
"1953","GB-201101205-D0","Sample cell and apparatus for spectroscopy and spectroscopic method","Univ Glasgow",NA,2011-01-24,2011-01-24,2011-03-09,NA,"https://patents.google.com/patent/GB201101205D0/en",NA,"Glasgow"
"1954","GB-201522690-D0","Nanostructured surfaces","Univ Glasgow",NA,2015-12-22,2015-12-22,2016-02-03,NA,"https://patents.google.com/patent/GB201522690D0/en",NA,"Glasgow"
"1955","GB-2606712-A","Information consensus in distributed critical systems","Univ Glasgow Court","Zhang Lei, Xu Hao",2021-05-13,2021-05-13,2022-11-23,NA,"https://patents.google.com/patent/GB2606712A/en",NA,"Glasgow"
"1956","US-10248032-B1","Dual cone-based polarizer","Gooch And Housego Plc, The University Court Of The University Of Glasgow","Peter Edward Mackay, Jonathan Gavin Ironside-Smith, Sonja Franke-Arnold, Neal Matthew Radwell",2018-04-17,2018-04-17,2019-04-02,2019-04-02,"https://patents.google.com/patent/US10248032B1/en","https://patentimages.storage.googleapis.com/f4/c3/65/1956b84d013ecd/US10248032-20190402-D00000.png","Glasgow"
"1957","GB-201418193-D0","Thermoelectric materials,devices and methods for their manufacture","Univ Glasgow",NA,2014-10-14,2014-10-14,2014-11-26,NA,"https://patents.google.com/patent/GB201418193D0/en",NA,"Glasgow"
"1958","GB-201518839-D0","Conjugates","Univ Glasgow",NA,2015-10-23,2015-10-23,2015-12-09,NA,"https://patents.google.com/patent/GB201518839D0/en",NA,"Glasgow"
"1959","GB-201503969-D0","Reporter gene assay","Univ Glasgow",NA,2015-03-09,2015-03-09,2015-04-22,NA,"https://patents.google.com/patent/GB201503969D0/en",NA,"Glasgow"
"1960","WO-2019185129-A1","Bacterial pathogen derived resistance in plants","The University Court Of The University Of Glasgow","William Rooney, Daniel Walker, Joel MILNER, Rhys GRINTER",2018-03-27,2018-03-27,2019-10-03,NA,"https://patents.google.com/patent/WO2019185129A1/en",NA,"Glasgow"
"1961","SG-10202001005X-A","Methods Of Generating Body Designs For Vehicles Such As Ships","Sembcorp Marine Repairs & Upgrades Pte Ltd, Univ Glasgow Court","Joo Hock Ang, Sook Fern Cindy Goh, Prabhakarrao Jirafe Vijay, Li Yun",2020-02-04,2020-02-04,2021-09-29,NA,"https://patents.google.com/patent/SG10202001005XA/en",NA,"Glasgow"
"1962","EP-2650672-A1","Integrated hydrogel waveguide outcoupler and sensor device","Fundacion Tecnalia Research & Innovation, Fundació Privada Institut Català de Nanotecnologia, University Of Glasgow, Institució Catalana de Recerca i Estudis Avançats","Isabel Obieta Vailallonga, Ali Z. Khokhar, Leire Bilbao Alba, Virginia Saez Martinez, Clivia Sotomayor Torres, Timothy Kehoe, Nikolaos Kehagias, Achille Francone, Claudia DELGADO SIMAO, Nikolaj Gadegaard",2012-04-13,2012-04-13,2013-10-16,NA,"https://patents.google.com/patent/EP2650672A1/en","https://patentimages.storage.googleapis.com/14/0b/6d/41bf9cf3010b4c/imgf0001.png","Glasgow"
"1963","WO-2017109086-A1","Methods for determining pathological tissue damage in higher vertebrates","Biomar Group A/S, Marine Harvest (Scotland) Limited, The University Court Of The University Of Glasgow","Peter David Eckersall, Mark James Thomas Braceland, David John Cockerill, John William Tinsley, Ralph Anthony Bickerdike",2015-12-22,2016-12-22,2017-06-29,NA,"https://patents.google.com/patent/WO2017109086A1/en",NA,"Glasgow"
"1964","US-10009175-B2","Secure communication","The University Of Leeds","Benjamin Thomas Hornsby Varcoe, Matthew Christopher John Everitt",2012-05-23,2013-05-23,2018-06-26,2018-06-26,"https://patents.google.com/patent/US10009175B2/en","https://patentimages.storage.googleapis.com/14/aa/a7/7ed79b3f825cd4/US10009175-20180626-D00000.png","Leeds"
"1965","AU-2016219702-B2","Composite bone implants","University Of Leeds","Hazel FERMOR, John Fisher, Jahid Hasan, Eileen Ingham, Gemma JONES",2012-09-04,2016-08-26,2017-03-09,2017-03-09,"https://patents.google.com/patent/AU2016219702B2/en",NA,"Leeds"
"1966","ES-2900616-T3","Data center networks based on passive optics","Univ Leeds Innovations Ltd","Jaafar Elmirghani, Taisir El-Gorashi, Ali Hammadi",2014-11-26,2015-11-26,2022-03-17,2022-03-17,"https://patents.google.com/patent/ES2900616T3/en",NA,"Leeds"
"1967","US-10732017-B2","Tomography apparatus, multi-phase flow monitoring system, and corresponding methods","University Of Leeds","Mi Wang, Jiabin Jia, Yousef FARAJ, Qiang Wang",2014-09-15,2015-09-15,2020-08-04,2020-08-04,"https://patents.google.com/patent/US10732017B2/en","https://patentimages.storage.googleapis.com/c4/92/19/f9a047baefe6fc/US10732017-20200804-D00000.png","Leeds"
"1968","US-10468009-B2","Ultrasound generation","The University Of Leeds","Steven Freear, David Matthew Joseph Cowell, Peter Raymond Smith",2012-12-19,2013-12-13,2019-11-05,2019-11-05,"https://patents.google.com/patent/US10468009B2/en","https://patentimages.storage.googleapis.com/05/a2/70/0a0b16ab2577fc/US10468009-20191105-D00000.png","Leeds"
"1969","EP-2448545-B1","Catalysed dye systems","The University Of Leeds","Richard Simon Blackburn, Patrick Columba Mcgowan, Christopher Martin Pask, Christopher Mark Rayner",2009-07-02,2010-06-30,2016-09-07,2016-09-07,"https://patents.google.com/patent/EP2448545B1/en",NA,"Leeds"
"1970","US-9207198-B2","Electrical tomography apparatus and method and current driver","The University Of Leeds","Mi Wang, Jiabin Jia",2009-06-22,2010-06-22,2015-12-08,2015-12-08,"https://patents.google.com/patent/US9207198B2/en","https://patentimages.storage.googleapis.com/0b/42/e7/6d421d7ec99a87/US09207198-20151208-D00000.png","Leeds"
"1971","AU-2017206237-B2","Scaffold Proteins Derived From Plant Cystatins","University Of Leeds","Michael Mcpherson, Darren TOMLINSON",2013-02-14,2017-07-20,2019-09-12,2019-09-12,"https://patents.google.com/patent/AU2017206237B2/en",NA,"Leeds"
"1972","EP-2477597-B1","Natural hair dyes","University Of Leeds","Richard Simon Blackburn, Paul Martin Rose, Christopher Mark Rayner",2009-05-15,2010-05-14,2018-10-03,2018-10-03,"https://patents.google.com/patent/EP2477597B1/en",NA,"Leeds"
"1973","US-9560986-B2","Magnetometer for medical use","University Of Leeds","Benjamin Thomas Hornsby Varcoe",2012-07-02,2013-07-01,2017-02-07,2017-02-07,"https://patents.google.com/patent/US9560986B2/en","https://patentimages.storage.googleapis.com/5d/40/c0/81b9bc5d7e71bf/US09560986-20170207-D00000.png","Leeds"
"1974","US-9404202-B2","Carbon fibre yarn and method for the production thereof","University Of Leeds","Carl Anthony Lawrence, Simon Brian Havis, Mahmudul Akonda",2010-02-05,2011-02-07,2016-08-02,2016-08-02,"https://patents.google.com/patent/US9404202B2/en","https://patentimages.storage.googleapis.com/b8/17/cc/449a1226d3dafc/US09404202-20160802-D00000.png","Leeds"
"1975","US-2022305011-A1","Factor xiia inhibitors","University Of Leeds","Helen PHILIPPOU, Richard POSTER, Colin Fishwick, Charlotte REVILL, Ian Yule, Roger Taylor, Alan Naylor, Philip Spencer Fallon, Stuart CROSBY, Anna Hopkins, Lucie Juliette GUETZOYAN, Alistair James MACNAIR, Mark Richard Stewart, Natalie Louise Winfield",2018-03-29,2019-03-28,2022-09-29,NA,"https://patents.google.com/patent/US20220305011A1/en","https://patentimages.storage.googleapis.com/db/e2/69/0bceec3e4b7858/US20220305011A1-20220929-D00000.png","Leeds"
"1976","US-8900438-B2","Electrolytic cell and electrochemical process using an electrode","University Of Leeds","Animesh Jha, Xiaobing Yang",2005-06-21,2012-03-12,2014-12-02,2014-12-02,"https://patents.google.com/patent/US8900438B2/en","https://patentimages.storage.googleapis.com/56/77/e6/53eadedcd69c9f/US08900438-20141202-D00000.png","Leeds"
"1977","US-8970618-B2","Virtual microscopy","University Of Leeds, The Leeds Teaching Hospitals Nhs Trust","Roy RUDDLE, Darren TREANOR",2011-06-16,2012-06-08,2015-03-03,2015-03-03,"https://patents.google.com/patent/US8970618B2/en","https://patentimages.storage.googleapis.com/e9/f2/41/2a48de4c127c1c/US08970618-20150303-D00000.png","Leeds"
"1978","US-9312469-B2","Ceramic","University Of Leeds","Andrew John Bell, Timothy Comyn",2010-07-28,2011-07-19,2016-04-12,2016-04-12,"https://patents.google.com/patent/US9312469B2/en","https://patentimages.storage.googleapis.com/78/d8/57/2bed3269b30b05/US09312469-20160412-D00001.png","Leeds"
"1979","EP-3033178-B1","Method and apparatus for manipulating particles","University of Leeds","Christoph Walti, Alban Josiah SMITH, Richard O'RORKE, Alexander Giles Davies, Christopher David WOOD",2013-08-14,2014-05-08,2021-06-16,2021-06-16,"https://patents.google.com/patent/EP3033178B1/en","https://patentimages.storage.googleapis.com/e0/41/c7/a1396c22c121aa/imgf0001.png","Leeds"
"1980","US-11414385-B2","Compounds and methods for treating, detecting, and identifying compounds to treat apicomplexan parasitic diseases","The University Of Chicago, University Of Leeds, The J. Craig Venter Institute, Institute For Systems Biology, U.S. Government, as represented by The Secretary of the Army Medical Command (MEDCOM), The University Of Strathclyde","Rima McLeod, Martin McPhillie, Colin W. G. Fishwick, Hernan Alejandro Lorenzi, Kai Wang, Taek-Kyun Kim, Yong Zhou, Leroy E. Hood, Ying Zhou, Kamal El Bissati, Mark Hickman, QiGui Li, Craig Roberts",2015-12-21,2016-12-20,2022-08-16,2022-08-16,"https://patents.google.com/patent/US11414385B2/en","https://patentimages.storage.googleapis.com/2a/46/f9/e2c40eb61d3bbc/US11414385-20220816-D00001.png","Leeds"
"1981","US-2014370416-A1","Proton exchange membrane fuel cell","The University Of Leeds","Nahla Eid Alhazmi, Derek Binns Ingham, Mohamad Saeed Ismail, Kevin James Hughes, Lin Ma, Mohamed Poukashanian",2011-12-13,2012-12-07,2014-12-18,NA,"https://patents.google.com/patent/US20140370416A1/en","https://patentimages.storage.googleapis.com/95/0f/ba/fd34d485be4cba/US20140370416A1-20141218-D00000.png","Leeds"
"1982","JP-2014223331-A","Tissue preparation for meniscus implantation","ユニヴァーシティ・オヴ・リーズ, Univ Of Leeds","インガム，アイリーン, Ingham Eileen, フィッシャー，ジョン, Fisher John, ステイプルトン，トーマス, Stapleton Thomas, イングラム，ジョアン, Ingram Joanne",2006-11-16,2014-06-27,2014-12-04,NA,"https://patents.google.com/patent/JP2014223331A/en","https://patentimages.storage.googleapis.com/50/18/0b/4ee3d6aaee13ca/2014223331-2.png","Leeds"
"1983","JP-2021098722-A","Metal complexes","ユニバーシティ オブ リーズ, Univ Of Leeds, ユニバーシティ  オブ  リーズ","スティーヴン・フィリップ・マースデン, Philip Marsden Stephen, パトリック・コルンバ・マッゴーワン, Columba Mcgowan Patrick, ロバータ・ラナーロ, Lanaro Roberta, アンドリュー・ジョン・ブラッカー, John Blacker Andrew",2015-12-18,2021-03-05,2021-07-01,NA,"https://patents.google.com/patent/JP2021098722A/en","https://patentimages.storage.googleapis.com/ca/d0/08/93c5973455b69b/2021098722-68.png","Leeds"
"1984","JP-2012121798-A","Extraction process for reactive metal oxide","Univ Of Leeds, ザ  ユニヴァーシティ  オヴ  リーズ","Animesh Jha, ジャー，アニメシュ, Pailo Antony Malpan, マルパン，パイロ，アントニー, Tathavadkar Vilas Dattatray, タサヴァドカー，ヴィラス，ダッタトレイ",2003-06-16,2011-12-16,2012-06-28,NA,"https://patents.google.com/patent/JP2012121798A/en","https://patentimages.storage.googleapis.com/29/6b/65/68e2c87522adcd/2012121798-7.png","Leeds"
"1985","JP-2011045753-A","Repair of damaged tissue","Univ Of Leeds, ユニバーシティ  オブ  リーズ","Bahaa Seedhom, シードム バハー, Kei Toyoda, 敬 豊田, Michael Pullan, プラン マイケル",1999-12-03,2010-11-05,2011-03-10,NA,"https://patents.google.com/patent/JP2011045753A/en","https://patentimages.storage.googleapis.com/be/28/52/72cfe878d2efe2/2011045753-3.png","Leeds"
"1986","JP-2012232296-A","Apparatus and method for delivering medicine","Univ Of Leeds, ユニバーシティ  オブ  リーズ","Andrew Mcintosh, ムシントシュ アンドリュー, Novid Beheshti, ベヘシュティ ノビッド",2005-09-26,2012-06-06,2012-11-29,NA,"https://patents.google.com/patent/JP2012232296A/en","https://patentimages.storage.googleapis.com/2f/1b/22/485e6983557ba5/2012232296-3.png","Leeds"
"1987","US-9447151-B2","Beta sheet tapes ribbons in tissue engineering","The University Of Leeds","Neville Boden, Amalia Aggeli, Eileen Ingham, Jennifer Kirkham",2002-07-15,2016-03-10,2016-09-20,2016-09-20,"https://patents.google.com/patent/US9447151B2/en","https://patentimages.storage.googleapis.com/92/18/dc/9bdf4852e50cd7/US09447151-20160920-D00001.png","Leeds"
"1988","AU-2010227259-A1","Scaffold","Neotherix Limited, The University Of Bradford, University Of Leeds","Marcel De Matas, Peter Iddon, Michael Raxworthy, Simon Wood, Xuebin Yang",2009-03-23,2010-03-23,2011-11-10,NA,"https://patents.google.com/patent/AU2010227259A1/en",NA,"Leeds"
"1989","ES-2900822-T3","Laser system for imaging and analysis of materials and corresponding method","Univ Queensland, Univ Leeds Innovations Ltd","Aleksandar D Rakic, Paul Dean, Edmund Linfield, Karl Bertung, Yah Leng Lim, Stephen James Wilson, Dragan Indjin, Alexander Giles Davies, Thomas Taimre",2013-08-22,2014-08-22,2022-03-18,2022-03-18,"https://patents.google.com/patent/ES2900822T3/en",NA,"Leeds"
"1990","WO-2013190149-A1","Hybrid self-reinforced composite material","Katholieke Universiteit Leuven, KU LEUVEN R&D, University Of Leeds","Mark J. Bonner, Larissa GORBATIKH, Peter J. Hine, Yentl SWOLFS, Ignaas Verpoest, Ian M. Ward",2012-06-22,2013-06-24,2013-12-27,NA,"https://patents.google.com/patent/WO2013190149A1/en",NA,"Leeds"
"1991","GB-201706559-D0","Magnetometer for medical use","Univ Leeds Innovations Ltd",NA,2016-04-25,2017-04-25,2017-06-07,NA,"https://patents.google.com/patent/GB201706559D0/en",NA,"Leeds"
"1992","GB-201807014-D0","Factor xlla inhibitors","Univ Leeds Innovations Ltd",NA,2018-04-30,2018-04-30,2018-06-13,NA,"https://patents.google.com/patent/GB201807014D0/en",NA,"Leeds"
"1993","CN-103282798-A","Aerosol detection","自然环境研究委员会, 大不列颠及北爱尔兰商务创新技巧部, 利兹大学","艾伦·迈克尔·沃尔利, 斯蒂芬·大卫·莫布斯, 詹姆斯·马修·海伍德",2010-09-27,2011-09-19,2013-09-04,NA,"https://patents.google.com/patent/CN103282798A/en","https://patentimages.storage.googleapis.com/23/ed/92/59968a48c53088/HDA00002975577200041.png","Leeds"
"1994","US-2021369824-A1","Methods and materials for treating cancer","Mayo Foundation For Medical Education And Research, Leeds University","Richard G. Vile, Timothy J. Kottke, Jose S. Pulido, Alan A. Melcher, Peter Selby",2010-02-10,2020-11-04,2021-12-02,NA,"https://patents.google.com/patent/US20210369824A1/en","https://patentimages.storage.googleapis.com/8b/fe/0f/63741633a25861/US20210369824A1-20211202-D00000.png","Leeds"
"1995","EP-3652644-A1","Data centre utilisation forecasting system and method","University of Leeds","Paul Michael Townend, Jie Xu, Ismael SOLIS MORENO",2017-07-12,2018-07-11,2020-05-20,NA,"https://patents.google.com/patent/EP3652644A1/en",NA,"Leeds"
"1996","EP-3359713-A1","Composite fibre","University of Leeds","Parikshit GOSWAMI, Timothy Smith, Andrew HEBDEN, Stephen Russell",2015-10-08,2016-10-06,2018-08-15,NA,"https://patents.google.com/patent/EP3359713A1/en",NA,"Leeds"
"1997","EP-3747972-A1","A method of inhibiting scale in a geological formation","University of Leeds","Nasser GHORBANI, Niall Fleming, Mark Wilson, Nikil KAPUR, Anne Neville",2012-06-07,2013-06-06,2020-12-09,NA,"https://patents.google.com/patent/EP3747972A1/en","https://patentimages.storage.googleapis.com/23/d1/57/e7213bf3de55fe/imgf0001.png","Leeds"
"1998","US-2021263040-A1","Method and device for protein preparation","University Of Leeds","Alexandre Zougman",2013-10-24,2021-04-16,2021-08-26,NA,"https://patents.google.com/patent/US20210263040A1/en","https://patentimages.storage.googleapis.com/9e/14/d2/0a0caf34108051/US20210263040A1-20210826-D00001.png","Leeds"
"1999","CN-106471473-A","Mechanism for the too high distribution of server in the minds of in control data","利兹大学","I·S·莫雷诺, P·M·汤恩德, P·M·加若凡, 徐洁",2014-05-21,2015-05-19,2017-03-01,NA,"https://patents.google.com/patent/CN106471473A/en",NA,"Leeds"
"2000","GB-201101637-D0","Fabric evaluation apparatus and method","Univ Leeds",NA,2011-01-31,2011-01-31,2011-03-16,NA,"https://patents.google.com/patent/GB201101637D0/en",NA,"Leeds"
"2001","EP-2976112-B1","Improvements in and relating to collagen based materials","University of Leeds","Giuseppe TRONCI, Stephen John Russell, David John Wood",2013-03-22,2014-03-21,2022-02-16,2022-02-16,"https://patents.google.com/patent/EP2976112B1/en","https://patentimages.storage.googleapis.com/54/2c/19/a29861ef4ebe60/imgf0001.png","Leeds"
"2002","EP-2595548-A1","Surgical retraction device and procedure","The University Of Leeds, Peter Robert Culmer","Peter Robert Culmer, David George Jayne, Anne Neville",2010-07-23,2011-07-25,2013-05-29,NA,"https://patents.google.com/patent/EP2595548A1/en",NA,"Leeds"
"2003","EP-2978890-B1","Novel method for coloration and treatment of substrates","University Of Leeds","Stephen Martin Burkinshaw",2013-03-25,2014-03-25,2019-06-19,2019-06-19,"https://patents.google.com/patent/EP2978890B1/en","https://patentimages.storage.googleapis.com/d9/3d/7f/867a25168700d7/imgf0001.png","Leeds"
"2004","EP-2625745-A1","Reflective substrate","The University Of Leeds","David Paul Steenson, Stephen John Russell",2010-10-05,2011-10-05,2013-08-14,NA,"https://patents.google.com/patent/EP2625745A1/en",NA,"Leeds"
"2005","EP-2726111-A2","Microbubble generation","The University Of Leeds","Sally Anne PEYMAN, Radwa Hassan ABOU-SALEH, Stephen Derek EVANS",2011-06-29,2012-06-29,2014-05-07,NA,"https://patents.google.com/patent/EP2726111A2/en",NA,"Leeds"
"2006","CA-2797441-A1","Process for the capture of carbon dioxide","The University Of Leeds, Christopher Mark Rayner, Guillaume Robert Jean-Francois Raynel","Christopher Mark Rayner, Guillaume Robert Jean-Francois Raynel",2010-04-28,2011-04-28,2011-11-03,NA,"https://patents.google.com/patent/CA2797441A1/en",NA,"Leeds"
"2007","AU-2014215934-B2","Tissue engineered constructs","University Of Leeds, Xiros Limited","Scott FINLAY, Bahaa Botros Seedhom",2014-06-25,2014-08-19,2016-08-11,2016-08-11,"https://patents.google.com/patent/AU2014215934B2/en",NA,"Leeds"
"2008","WO-2022101361-A2","Automated assessment of wound tissue","Astrazeneca Ab, University Of Leeds","Yinhai Wang, Adrian Mark FREEMAN",2019-11-12,2021-11-11,2022-05-19,NA,"https://patents.google.com/patent/WO2022101361A2/en",NA,"Leeds"
